% Model,case3_base_model_com_solved_Q_1.2.mph
% Version,COMSOL 6.0.0.405
% Date,"Nov 22 2023, 17:13"
% Table,Probe Table - Tout - 
% Time (h),"T_out - 15 m - left (K), Probe_T_out - HE - 15m","T_out - 15 m - left (K), Probe_T_out - HE - 30m","T_out - 15 m - left (K), Probe_T_out - HE - 45m"
325,278.28151929900406,278.3058145768282,278.3277102753374
326,278.1617150380538,278.1864091234385,278.20827467022616
327,278.0493444519548,278.07454940162063,278.09638122007607
328,277.9469338120602,277.97268651332604,277.9944829796043
329,277.7980035121269,277.82435456045016,277.84610250209715
330,277.6902853293445,277.71733444966264,277.73910218837864
331,277.5872029149184,277.6148754424414,277.6366378293227
332,277.5050490287917,277.5332066817019,277.5549390768311
333,277.44393308354137,277.47248202573996,277.4941847890006
334,277.4418180790143,277.4706091322721,277.49227906693045
335,277.50841051509923,277.5371975973857,277.55879722402466
336,277.6895928194355,277.7180314923799,277.73951309267653
337,277.90280524664905,277.9305291523305,277.95179194186335
338,278.121253678043,278.1480744054924,278.1690702699782
339,278.39273028632704,278.41857300867235,278.4393227266826
340,278.62776525305355,278.652594895251,278.6730738404586
341,278.8054453964484,278.8294001127296,278.84962999008883
342,278.83969297017126,278.8631318923441,278.8831630512771
343,278.7849088824926,278.8082370315955,278.8281598370228
344,278.71945459043167,278.74326798831777,278.7632955489437
345,278.65263802133853,278.6771873864885,278.69736734180054
346,278.5802632592228,278.60549320138597,278.62574693031655
347,278.5055860717777,278.53146135189303,278.55177204266016
348,278.4539155499612,278.48045123500054,278.5008610868323
349,278.40068574087616,278.42783801712665,278.4483428816244
350,278.36380417027283,278.39152834851006,278.4121323500867
351,278.31835222404084,278.3466051638023,278.3672970210005
352,278.2496851508888,278.2784864197495,278.29927851962304
353,278.20385021406344,278.23320987169774,278.2541359857406
354,278.12142506705493,278.1513097420839,278.1723530240752
355,278.0752343865516,278.1056033697316,278.12678861349536
356,277.9713251747227,278.0021100433411,278.02340060722634
357,277.8235741772753,277.85478469482604,277.87617238048716
358,277.7101060675866,277.74185464346556,277.7634327844663
359,277.8695696104383,277.9014615299072,277.9232471938956
360,278.20163877542905,278.23277006538996,278.25453554440594
361,278.4510311086917,278.4807381470454,278.5022144169338
362,278.67578881333145,278.70403865455654,278.7252402065836
363,278.84110748603206,278.8681285701618,278.88912731720677
364,278.994283562258,279.0203407186824,279.041210497015
365,279.0814880400192,279.1068155306729,279.1275667271864
366,279.0820574529642,279.10697771029044,279.12763636208877
367,279.02048651784503,279.04539068075104,279.0660249877658
368,278.9077304488424,278.9329706617036,278.9536408630453
369,278.82621722689004,278.85202368340293,278.87279259195844
370,278.73300918802244,278.75937996537806,278.78021144867694
