% Model,case4_base_model_solved_Q_1.3.mph
% Version,COMSOL 6.0.0.405
% Date,"May 2 2024, 18:54"
% Table,Table - T_out - 
% Time (h),"T_out (K), Probe_T_out - HE - 15m","T_out (K), Probe_T_out - HE - 30m","T_out (K), Probe_T_out - HE - 45m"
468,278.66507278833456,278.64912737937465,278.67004613730904
469,278.53017799425805,278.5150809287758,278.53591699634643
470,278.40103669149966,278.3868680551716,278.40766942420333
471,278.29750846848697,278.2842948068852,278.30511509268
472,278.2105209203104,278.19823720144996,278.2191158544518
473,278.15464882750626,278.14320222008814,278.16420421550106
474,278.09967312330116,278.0889572750017,278.1101165337934
475,277.92021002286316,277.91022667056524,277.9314850903876
476,277.82009563360737,277.81067977113383,277.8321404084432
477,277.71509439361824,277.70609949772074,277.7277421421606
478,277.66666043045035,277.6578798118,277.67972150932746
479,277.7905778877459,277.78167154429207,277.80381491294037
480,278.02201861525265,278.0126755391188,278.0351551620646
481,278.23535254746787,278.2254173606945,278.248209472002
482,278.4326149024874,278.42201673123907,278.4451537256621
483,278.62971959558695,278.61842750355777,278.64194942039734
484,278.778886612025,278.766952588541,278.7908256594679
485,278.8840654271213,278.8715866725023,278.89577272974265
486,278.9108456327094,278.89798167795993,278.92241389438027
487,278.81644066729973,278.8034867793263,278.82805826234494
488,278.70698327638974,278.69410725978133,278.7187754690482
489,278.5565851866128,278.5439491097503,278.56863339844114
490,278.4131138426219,278.40078535885726,278.42546020531233
491,278.27803213132654,278.2660606048773,278.2907021134712
492,278.1516095626073,278.14002791540753,278.1646216979916
493,278.0178073407712,278.00665407465647,278.0311864905974
494,277.9273774292911,277.91663673445447,277.94114000792615
495,277.856829583226,277.8464771284636,277.87095721861544
496,277.7513377441601,277.74138642101843,277.76581569638023
497,277.6779022770477,277.6683023284601,277.69271787847356
498,277.57423430632093,277.5649677993988,277.5893441860037
499,277.43198499714805,277.4230467178192,277.447355630342
500,277.18598160415223,277.1774343019764,277.2016075261367
501,277.0144612716356,277.00621760392875,277.0303167874703
502,276.939510625254,276.93140027429877,276.9554511425601
503,277.12802956064326,277.1196698286196,277.1438005586777
504,277.5141586949192,277.50513942317315,277.52942587115325
505,277.87858914331525,277.8687118019387,277.8931269515644
506,278.1646520339873,278.1538776518863,278.1784473179048
507,278.40662939168766,278.394989052758,278.41977068902025
508,278.56984163074895,278.5574328817512,278.5823983285305
509,278.68551296409095,278.6724726714281,278.6976051405096
510,278.72301519565644,278.70953636773396,278.73475246593756
511,278.622759447592,278.60917270475994,278.6343430779516
512,278.44416567189495,278.43072370367275,278.4557857125453
513,278.21661827062246,278.2035308446006,278.2284372535462
